,elbow-l,elbow-r,knee-l,knee-r,kneck-l,kneck-r,leg-l,leg-r,back,Pose
340,-14.559807784135907,0.0,-12.532753156019883,-12.532753156019883,115.90650799951439,115.90650799951439,24.484528837168245,24.484528837168245,-27.41914233091245,halfMoon
341,0.0,-28.072486935852957,53.64253687558647,4.715742206681284,78.69006752597979,123.69006752597979,-79.56252464888182,-77.61301323762892,8.087879974538009,halfMoon
342,152.04903097210982,0.013352427154732083,173.10469058566736,1000.0,-74.10698708671443,63.53037575503906,-62.728255371830976,1000.0,-8.252529047136083,halfMoon
343,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,halfMoon
344,22.20347853205739,14.381394591090597,1000.0,1000.0,102.68038349181982,84.24543466889781,-43.873090658845335,-40.646839770159445,-6.345222545748864,halfMoon
345,1000.0,1000.0,14.656751115760427,1000.0,64.10500772724163,5.609274446445806,-66.22676826167077,-55.71521468216815,-7.248815726552373,halfMoon
346,52.35237935989235,-69.96838662894429,8.964153739648825,2.25608527340936,82.12606186827438,82.12606186827438,-24.88612456763215,-19.7901956604455,12.946954721585197,halfMoon
347,0.0,162.40757543781842,5.526999949895176,9.226230005808528,60.1380255074832,-72.87905475985826,81.69033658650096,65.67192788635971,-4.711579297419178,halfMoon
348,9.53023900526598,75.02722371463797,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,halfMoon
349,1000.0,4.987721515065317,-21.23931055231027,1.254451622681536,82.40535663140855,55.84030545433057,87.74465371654266,25.140076904562566,-7.594643368591445,halfMoon
350,16.429301451533405,133.31531568210372,30.529705899934108,-56.309932474020215,90.0,-59.47029410006589,90.0,45.0,-7.957525226917142,halfMoon
351,1000.0,-17.26981170040781,1000.0,1000.0,37.763077974031994,82.763077974032,1000.0,1000.0,24.3705802202809,halfMoon
352,-73.28277488176117,0.0,0.0,87.08400501723938,0.5577994235458695,45.123748791406456,104.77816173293736,53.69198730595035,12.65255650055797,halfMoon
353,104.03624346792648,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,halfMoon
354,1000.0,1000.0,1000.0,1000.0,79.87532834460218,-10.124671655397817,1000.0,1000.0,10.35568565641142,halfMoon
355,20.056094736575417,0.0,-19.573125830410195,0.0,90.0,90.0,0.0,103.43102887068167,-13.431028870681667,halfMoon
356,-3.953324869059321,30.311213226681616,24.427410107520934,28.867033411648,129.38779677067512,129.38779677067512,11.46822019848242,11.815241715649508,-14.454017789516548,halfMoon
357,1000.0,1000.0,1000.0,1000.0,45.0,45.0,1000.0,1000.0,-14.534455080540122,halfMoon
